VariableName,ResultValue
"NewCapacity(RE1,PWRDIST,2031)",0.18971328
"NewCapacity(RE1,PWRDIST,2032)",0.20445989
"NewCapacity(RE1,PWRDIST,2033)",0.22021256
"NewCapacity(RE1,PWRDIST,2034)",0.23705874
"NewCapacity(RE1,PWRDIST,2035)",0.33561149
"NewCapacity(RE1,PWRDIST,2036)",0.29665183
"NewCapacity(RE1,PWRDIST,2037)",0.31901076
"NewCapacity(RE1,PWRDIST,2038)",0.34307096
"NewCapacity(RE1,PWRDIST,2039)",0.36896471
"NewCapacity(RE1,PWRDIST,2040)",0.39683162
"NewCapacity(RE1,PWRDIST,2041)",0.32694019
"NewCapacity(RE1,PWRDIST,2042)",0.34611707
"NewCapacity(RE1,PWRDIST,2043)",0.36641465
"NewCapacity(RE1,PWRDIST,2044)",0.38790642
"NewCapacity(RE1,PWRDIST,2045)",0.41065117
"NewCapacity(RE1,PWRDIST,2046)",0.4431442
"NewCapacity(RE1,PWRDIST,2047)",0.46907101
"NewCapacity(RE1,PWRDIST,2048)",0.49651537
"NewCapacity(RE1,PWRDIST,2049)",0.52556545
"NewCapacity(RE1,PWRDIST,2050)",0.55631312
"NewCapacity(RE1,PWRDIST,2051)",1.6835518
"NewCapacity(RE1,PWRDIST,2052)",0.36147988
"NewCapacity(RE1,PWRDIST,2053)",0.37393622
"NewCapacity(RE1,PWRDIST,2054)",0.38680408
"NewCapacity(RE1,PWRDIST,2055)",0.40010187
"NewCapacity(RE1,PWRDIST,2056)",0.4138663
"NewCapacity(RE1,PWRDIST,2057)",0.42811209
"NewCapacity(RE1,PWRDIST,2058)",0.44285024
"NewCapacity(RE1,PWRDIST,2059)",0.45810283
"NewCapacity(RE1,PWRDIST,2060)",0.47389554
"NewCapacity(RE1,PWRDIST,2061)",0.34232873
"NewCapacity(RE1,PWRDIST,2062)",0.35045291
"NewCapacity(RE1,PWRDIST,2063)",0.35880489
"NewCapacity(RE1,PWRDIST,2064)",0.36740307
"NewCapacity(RE1,PWRDIST,2065)",0.37624376
"NewCapacity(RE1,PWRDIST,2066)",0.38532329
"NewCapacity(RE1,PWRDIST,2067)",0.39463431
"NewCapacity(RE1,PWRDIST,2068)",0.40420253
"NewCapacity(RE1,PWRDIST,2069)",0.41403533
"NewCapacity(RE1,PWRDIST,2070)",0.42414002
"NewCapacity(RE1,MINBIO,2015)",4.0586832
"NewCapacity(RE1,MINBIO,2016)",4.0586832
"NewCapacity(RE1,MINBIO,2017)",4.0586832
"NewCapacity(RE1,MINBIO,2018)",4.0586832
"NewCapacity(RE1,MINBIO,2019)",4.0586832
"NewCapacity(RE1,MINBIO,2020)",4.0586832
"NewCapacity(RE1,MINBIO,2021)",4.0586832
"NewCapacity(RE1,MINBIO,2022)",4.0586832
"NewCapacity(RE1,MINBIO,2023)",4.0586832
"NewCapacity(RE1,MINBIO,2024)",4.0586832
"NewCapacity(RE1,MINBIO,2025)",4.0586832
"NewCapacity(RE1,MINBIO,2026)",4.0586832
